date,time,type,proxID,floor,zone
2016-06-02, 00:00:00, fixed-prox, jsanjorge001, 1, 1
2016-06-02, 00:04:00, fixed-prox, vawelon001, 1, 1
2016-06-02, 00:13:00, fixed-prox, earpa001, 1, 1
2016-06-02, 02:31:40, fixed-prox, earpa001, 1, 6
2016-06-02, 02:33:41, fixed-prox, vawelon001, 1, 6
2016-06-02, 03:18:00, fixed-prox, earpa001, 1, 1
2016-06-02, 03:30:00, fixed-prox, vawelon001, 1, 1
2016-06-02, 05:57:40, fixed-prox, vawelon001, 1, 6
2016-06-02, 06:04:40, fixed-prox, earpa001, 1, 6
2016-06-02, 06:48:00, fixed-prox, vawelon001, 1, 1
2016-06-02, 07:00:00, fixed-prox, lorosco001, 1, 1
2016-06-02, 07:00:00, fixed-prox, wvasco001, 1, 1
2016-06-02, 07:00:50, fixed-prox, wvasco001, 1, 4
2016-06-02, 07:00:52, fixed-prox, lorosco001, 1, 4
2016-06-02, 07:01:32, fixed-prox, wvasco001, 2, 4
2016-06-02, 07:01:32, fixed-prox, lorosco001, 2, 4
2016-06-02, 07:02:03, fixed-prox, wvasco001, 3, 4
2016-06-02, 07:02:03, fixed-prox, lorosco001, 3, 4
2016-06-02, 07:02:05, fixed-prox, lorosco001, 3, 1
2016-06-02, 07:02:05, fixed-prox, wvasco001, 3, 1
2016-06-02, 07:02:13, fixed-prox, wvasco001, 3, 2
2016-06-02, 07:06:00, fixed-prox, earpa001, 1, 1
2016-06-02, 07:15:00, fixed-prox, acampo001, 1, 1
2016-06-02, 07:15:00, fixed-prox, iborrasca001, 1, 1
2016-06-02, 07:15:00, fixed-prox, mbramar001, 1, 1
2016-06-02, 07:15:00, fixed-prox, mcassano001, 1, 1
2016-06-02, 07:15:50, fixed-prox, iborrasca001, 1, 4
2016-06-02, 07:15:51, fixed-prox, mcassano001, 1, 4
2016-06-02, 07:15:54, fixed-prox, mbramar001, 1, 4
2016-06-02, 07:15:56, fixed-prox, acampo001, 1, 4
2016-06-02, 07:16:00, fixed-prox, yfinney001, 1, 1
2016-06-02, 07:16:00, fixed-prox, vomalla001, 1, 1
2016-06-02, 07:16:00, fixed-prox, thagan001, 1, 1
2016-06-02, 07:16:00, fixed-prox, korilla001, 1, 1
2016-06-02, 07:16:32, fixed-prox, iborrasca001, 2, 4
